ARTISTS;,TICKETS SOLD,GROSS
U2, 26178043,2127771684;
Dave Matthews Band,23279056,1085558730;
The Rolling Stones,22137799,2165280638;
Bruce Springsteen & The E Street Band,20845687,1527407373;
Elton John,19756467,1748183036;
Metallica,19468173,1219599179;
Bon Jovi,17750044,1329891400;
Billy Joel,16973102,1187103345;
Kenny Chesney,16410448,1110826825;
Grateful Dead,15549243,333448841;
Trans-Siberian Orchestra,15276864,768990894;
Phish,13501959, 595859900;
Aerosmith,13336974,603229413;
Jimmy Buffett,13336974,574642619;
Rod Stewart,13173925,796050406;
Neil Diamond,12948499,629290686;
Coldplay,12532987,1038862173;
George Strait,12287930,631306474;
Tim McGraw,12266482,679879416;
Ed Sheeran,11865380,968919574;
Madonna,11672443,1389746222;
AC/DC,11512424,668427967;
Def Leppard,11321650,514231844;
Garth Brooks,11150318,319196946;
Eagles,10995128,1314544780;
Celine Dion,10906984,1354352578;
“Vans Warped Tour”,10524715,296571532;
Paul McCartney,10459620,1193812645;
Journey;,9958624,470947895
KISS, 9867419,532363017;
Taylor Swift,9564669,924991375;
Beyoncé,9388305,1012704645;
Alan Jackson,9381862,316545305;
Depeche Mode,9234197,573340442;
Iron Maiden, 9187132,475817777;
ZZ Top,9104788,278705470;
Toby Keith,8993561,385025019;
Roger Waters,8986408,841218937;
Brooks & Dunn,8920454,307344897;
James Taylor,8889534,446358547;
André Rieu,8846118,783135491;
Mötley Crüe,8748806,367345912;
Rush,8593428,341767928;
Guns N’ Roses,8470755,751306152;
P!nk,8184164,762537822;
New Kids On The Block,8150649,343673394;
Brad Paisley,8110175,328729431;
Luke Bryan,8084571,451015348;
Chicago;,7827390,308815915
Santana;,7694036,338300077
Tom Petty & The Heartbreakers,7666481,340201810;
Rascal Flatts,7611793,350510245;
Van Halen,7483253,295611828;
Kenny Rogers,7391819,160874511;
Jay-Z,7369440,707623058;
Fleetwood Mac,7329435,663614335;
Bryan Adams,7322151,342222336;
Eric Clapton,7285748,455359554;
Bob Dylan,7252904,391967919;
Backstreet Boys,7241922,403086512;
One Direction,7198709,570704406;
Justin Bieber,7102199,597226417;
Pearl Jam,7006815,351816504;
“Winter Jam”,6999205,92430212;
Cher,6975802,589070172;
Red Hot Chili Peppers,6846945,391478473;
Zac Brown Band,6844771,341949199;
Justin Timberlake,6772285,697034020;
Jason Aldean,6706704,309612072;
Barry Manilow,6564840,372879355;
John Mayer,6564458,384262725;
Sting,6558323,368547305;
Reba McEntire,6542791,215180377;
Alabama,6460782,169613516;
Michael Bublé,6309902,581249622;
Lynyrd Skynyrd,6262495,174624299;
Britney Spears,6243044,467150890;
Muse, 6124001,413911387;
David Copperfield,6105563,233571798;
Ozzy Osbourne,6006522,186754231;
Jeff Dunham,5959342,288655286;
The Who,5920078,319253907;
Scorpions,5864625,271865172;
Foo Fighters,5815511,397110491;
Widespread Panic,5733154,202238368;
NSYNC,5699118,248809096;
The Allman Brothers Band,5693922,181678393;
Pink Floyd,5662178,159560275;
Nickelback,5605065,282043003;
Keith Urban,5517212,323896144;
Bruno Mars,5505715,578497462;
Lady Gaga,5496628,589812585;
Bob Seger & The Silver Bullet Band,5447555,286494645;
Shania Twain,5437736,345182245;
Maroon 5,5423977,404506431;
Genesis;,5343365,291368338
Luis Miguel,5272247,404182511;
Willie Nelson,5143046,194245674;
Tina Turner,5085070,282241376;
John Mellencamp,5067470,189413061;
The Police,4868112,367803487;
Jonas Brothers,4863439,347057679;
Phil Collins,4812282,306514774;
Kid Rock,4782884,186416121;
Green Day,4764387,204959692;
The Beach Boys,4760033,142899738;
Prince,4510868,253079093;
Janet Jackson,4504161,227141925;
Tool,4483293,269044896;
Eric Church,4470956,307932127;
Steve Miller Band,4399872,121386008;
The Moody Blues,4334730,164082144;
Take That,4300468,424251644;
“American Idol Live”,4213658,218274919;
Bill Gaither & Friends “Homecoming”,4159618,101511120;
Katy Perry,3930468,340240118;
Carrie Underwood,3927489,243650517;
Poison,3911113,77878900;
Marc Anthony,3871149,326378749;
“Ozzfest”,3802261,174320095;
Neil Young,3799121,168656842;
Styx,3782783,114939036;
Lionel Richie,3727651,214120019;
Rihanna,3703214,296501318;
Drake,3694237,344382588;
Yanni,3643584,190851725;
R.E.M.,3640879,128324243;
Westlife,3619555,197884258;
The Chicks,3618800,210091990;
Florida Georgia Line,3573225,182100546;
Vince Gill,3552060,78930377;
Mannheim Steamroller,3548707,168998912;
Kings Of Leon,3492056,196436312;
311,3482392,97563762;
David Bowie,3477064,109824876;
Heart,3433299,102949240;
Foreigner,3404022,94477744;
Enrique Iglesias,3403251,250315869;
“Honda Civic Tour”,3381655,168212480;
REO Speedwagon,3337264,75302045;
Daryl Hall & John Oates,3322314,125240529;
Motley Crue,3303463,58747851;
Barenaked Ladies,3297936,105681814;
matchbox twenty,3271278,125294278;
Casting Crowns,3264436,102722423;
Blink-182,3253588,109850166;
Ron White,3253117,155830726;
The Cure,3221620,135860764;
Linkin Park,3211166,164426280;
Andrea Bocelli,3196704,480312153;
