Sport;Argentina;Australia;Austria;Belgium;Brazil;Canada;China;Colombia;Denmark;Egypt;France;Germany;Hong Kong;India;Indonesia;Ireland;Italy;Japan;Malaysia;Mexico;Netherlands;New Zealand;Philippines;Poland;Portugal;Russia;Saudi Arabia;Singapore;South Africa;South Korea;Spain;Sweden;Switzerland;Taiwan;Thailand;Turkey;UAE;UK;USA;Vietnam
Am. football;7;7;11;2;11;21;4;10;9;5;5;11;5;7;4;7;5;3;6;36;5;8;12;4;5;1;4;4;5;2;5;4;6;6;10;7;6;7;51;8
Athletics;16;12;12;17;20;11;19;24;16;21;22;18;17;24;15;20;25;10;25;22;15;13;19;31;20;9;17;11;35;12;19;25;19;12;20;27;19;22;10;21
Badminton;0;4;2;2;2;4;31;1;13;2;4;3;29;32;51;4;1;5;59;2;3;5;25;4;3;2;3;26;2;8;3;3;2;20;31;5;14;4;2;32
Baseball;5;5;3;2;6;24;6;16;3;2;2;3;5;9;3;4;4;28;5;25;5;6;17;3;3;1;3;4;4;44;4;2;3;33;6;4;6;4;38;6
Basketball;28;15;7;9;29;21;41;32;6;18;14;10;29;21;29;13;19;7;20;34;9;21;70;20;20;10;20;19;13;15;33;10;7;36;24;51;33;8;35;23
Boxing;28;12;10;8;23;14;14;18;12;16;12;18;12;25;20;20;8;8;16;41;11;19;46;20;8;20;14;11;18;11;9;9;11;7;31;29;32;18;15;20
Cricket;0;29;1;1;1;4;3;1;1;2;1;1;2;71;2;7;1;0;3;1;2;21;1;1;2;0;4;3;43;1;1;2;1;1;3;2;35;15;2;2
Cycling;12;12;16;27;19;11;28;57;26;19;22;14;24;32;32;18;22;4;26;20;27;13;19;21;23;6;11;14;21;6;25;11;15;20;30;32;19;18;10;33
Soccer;67;40;52;52;76;34;53;75;46;79;50;58;54;62;75;54;62;31;63;72;51;27;45;69;72;50;67;49;60;59;65;51;55;20;72;76;64;54;31;79
Golf;7;12;5;4;7;14;12;8;7;6;4;5;9;11;5;20;6;9;10;8;6;12;10;4;5;1;5;10;17;17;5;11;5;8;14;9;9;14;16;11
Gymnastics;17;11;5;10;29;12;21;27;8;12;11;4;26;20;17;16;15;8;23;31;8;12;21;12;13;18;8;14;23;10;16;8;8;16;18;17;13;13;18;14
Ice hockey;3;5;12;4;5;42;4;4;9;3;4;12;5;6;2;4;4;1;5;6;6;5;5;9;5;26;3;4;5;2;3;33;23;3;4;6;2;4;21;4
Martial arts;18;10;10;8;27;13;14;19;7;18;10;10;10;21;27;13;8;10;26;24;11;12;35;19;11;14;13;16;16;8;9;9;9;11;25;27;20;9;12;29
Motor sports;23;18;26;14;26;15;16;23;20;15;15;24;17;29;43;17;33;9;31;22;25;22;25;17;26;10;16;19;33;10;29;15;21;14;27;30;26;24;14;25
Rugby;21;23;3;6;4;5;4;5;2;2;24;3;6;6;2;40;10;6;8;3;6;45;5;4;6;2;3;5;48;1;5;3;6;3;4;4;5;23;3;5
Surfing;5;9;3;4;15;5;11;4;2;11;3;3;8;12;6;6;3;2;7;6;3;8;13;3;8;2;6;5;11;3;4;3;5;6;6;7;7;4;6;4
Swimming;18;23;14;11;35;16;42;33;14;36;20;16;38;33;29;21;29;10;36;32;16;14;37;21;18;15;30;32;32;18;21;16;14;23;31;43;29;17;16;41
Table tennis;3;4;4;3;7;3;30;7;4;9;4;6;20;16;10;4;4;8;12;4;3;6;14;8;5;3;8;14;5;9;4;6;3;12;13;15;10;4;3;14
Tennis;41;31;30;27;20;17;24;31;19;26;29;17;21;37;17;28;29;15;19;23;22;21;25;25;23;11;21;19;33;13;38;15;34;20;29;33;27;30;16;25
Volleyball;17;4;7;7;48;7;17;18;3;11;6;7;25;15;19;4;22;8;13;19;9;5;45;41;11;12;13;8;6;11;6;5;7;13;50;36;15;3;8;28
Winter sports;9;11;44;12;14;16;13;9;13;8;17;22;12;9;5;11;20;8;9;16;13;13;9;34;8;25;7;7;13;18;9;24;33;8;7;21;7;13;14;9
