Rank;Sport;Estimated Fans;Regional Popularity
1;Soccer / Association Football;3.5 Billion;Europe, Africa, Asia, America
2;Cricket;2.5 Billion;Asia, Australia, UK
3;Basketball;2.2 Billion;US, Canada, China, and the Philippines
4;Field Hockey;2 Billion;Europe, Africa, Asia, Australia
5;Tennis;1 Billion;Europe, Americas, and Asia
6;Volleyball;900 Million;Asia, Europe, Americas, and Australia
7;Table Tennis;850 Million;Asia, Europe, Africa, and the Americas
8;Baseball;500 Million;US, Japan, Cuba, and the Dominican Republic
9;American Football / Rugby;410 Million;USA mainly France, England, New Zealand, South Afric
10;Golf;390 Million;Europe, Asia, America, Canada
