Sport;% watched on TV;;
Soccer;0.56;;
Swimming;0.31;;
Basketball;0.29;;
Tennis;0.24;;
Cycling;0.23;;
Motor sports;0.21;;
Badminton;0.19;;
Athletics;0.18;;
Boxing;0.18;;
Gymnastics;0.18;;
Volleyball;0.17;;
Martial arts;0.17;;
Table tennis;0.15;;
Winter sports (e.g. skiing);0.13;;
Cricket;0.12;;
Baseball;0.11;;
American football;0.11;;
Golf;0.1;;
Long-distance running;0.1;;
Surfing;0.08;;
Ice hockey;0.07;;
Horse-riding/equestrian;0.07;;
Rugby;0.06;;
Sailing;0.05;;
Triathlon;0.05;;
Rowing;0.05;;
Field hockey;0.03;;
Squash;0.03;;
